,公司代號,出表日期,公司名稱,產業別,當月營收,上月營收
0,1102,1110912,亞泥,水泥工業,7069221,7864622
1,1108,1110912,幸福,水泥工業,390053,326691
2,1109,1110912,信大,水泥工業,478276,557403
3,1110,1110912,東泥,水泥工業,176935,134470
4,1213,1110912,大飲,食品工業,38696,29503
5,1215,1110912,卜蜂,食品工業,2393814,2400161
6,1218,1110912,泰山,食品工業,1054476,1023417
7,1219,1110912,福壽,食品工業,1352250,1321525
8,1220,1110912,台榮,食品工業,314062,294528
9,1225,1110912,福懋油,食品工業,1333748,1301087
10,1227,1110912,佳格,食品工業,2686715,2146094
11,1229,1110912,聯華,食品工業,831107,906199
12,1231,1110912,聯華食,食品工業,976319,987622
13,1232,1110912,大統益,食品工業,2186695,1798053
14,1233,1110912,天仁,食品工業,173566,133500
15,1234,1110912,黑松,食品工業,1074526,952900
16,1235,1110912,興泰,食品工業,6974,3274
17,1236,1110912,宏亞,食品工業,221454,170333
18,1256,1110912,鮮活果汁-KY,食品工業,581403,475276
19,1301,1110912,台塑,塑膠工業,17450790,19936058
20,1303,1110912,南亞,塑膠工業,27507669,27970940
21,1304,1110912,台聚,塑膠工業,5215901,5657528
22,1305,1110912,華夏,塑膠工業,1190704,1560080
23,1307,1110912,三芳,塑膠工業,1118509,923832
24,1308,1110912,亞聚,塑膠工業,1082981,969456
25,1309,1110912,台達化,塑膠工業,1529912,1586565
26,1310,1110912,台苯,塑膠工業,851722,1314555
27,1312,1110912,國喬,塑膠工業,1405126,1382426
28,1313,1110912,聯成,塑膠工業,5052422,5993125
29,1315,1110912,達新,塑膠工業,306497,212786
30,1319,1110912,東陽,汽車工業,1767684,1859349
31,1321,1110912,大洋,塑膠工業,550848,474542
32,1324,1110912,地球,塑膠工業,75027,73983
33,1325,1110912,恆大,塑膠工業,44949,50686
34,1326,1110912,台化,塑膠工業,28666166,31249506
35,1337,1110912,再生-KY,塑膠工業,60295,53666
36,1338,1110912,廣華-KY,汽車工業,617345,705668
37,1339,1110912,昭輝,汽車工業,175239,179434
38,1340,1110912,勝悅-KY,塑膠工業,40342,36383
39,1341,1110912,富林-KY,塑膠工業,215526,212305
40,1342,1110912,八貫,其他,212537,214641
41,1410,1110912,南染,紡織纖維,29489,30028
42,1413,1110912,宏洲,紡織纖維,263208,219957
43,1414,1110912,東和,紡織纖維,55727,60543
44,1417,1110912,嘉裕,紡織纖維,117306,120361
45,1418,1110912,東華,紡織纖維,701,427
46,1419,1110912,新紡,紡織纖維,312131,270399
47,1423,1110912,利華,紡織纖維,14789,10059
48,1434,1110912,福懋,紡織纖維,2965754,2957701
49,1435,1110912,中福,其他,1085,1067
50,1436,1110912,華友聯,建材營造,864693,655976
51,1437,1110912,勤益控,其他,67184,123460
53,1440,1110912,南紡,紡織纖維,1615212,1727479
54,1441,1110912,大東,紡織纖維,108145,141393
55,1442,1110912,名軒,建材營造,125929,69478
56,1443,1110912,立益物流,其他,103981,63796
57,1444,1110912,力麗,紡織纖維,1110060,1124306
58,1445,1110912,大宇,紡織纖維,124480,129689
59,1446,1110912,宏和,紡織纖維,10478,20368
60,1447,1110912,力鵬,紡織纖維,2719435,3157856
61,1449,1110912,佳和,紡織纖維,232128,182939
62,1451,1110912,年興,紡織纖維,825466,861416
63,1452,1110912,宏益,紡織纖維,134402,135987
64,1453,1110912,大將,建材營造,39629,30291
65,1454,1110912,台富,紡織纖維,157137,155473
66,1455,1110912,集盛,紡織纖維,694537,742046
67,1456,1110912,怡華,建材營造,36321,47436
68,1457,1110912,宜進,紡織纖維,365255,309944
69,1459,1110912,聯發,紡織纖維,132777,162430
70,1460,1110912,宏遠,紡織纖維,925749,835539
71,1463,1110912,強盛,紡織纖維,37194,43449
72,1464,1110912,得力,紡織纖維,1055023,981694
73,1465,1110912,偉全,紡織纖維,60397,40660
74,1466,1110912,聚隆,紡織纖維,215180,228599
75,1468,1110912,昶和,紡織纖維,132643,152071
76,1470,1110912,大統新創,紡織纖維,84491,70402
77,1471,1110912,首利,電子零組件業,16873,14981
78,1473,1110912,台南,紡織纖維,707355,787362
79,1474,1110912,弘裕,紡織纖維,286882,264396
80,1475,1110912,業旺,紡織纖維,83865,104255
81,1476,1110912,儒鴻,紡織纖維,3913925,3899629
82,1477,1110912,聚陽,紡織纖維,3261778,3718403
83,1504,1110912,東元,電機機械,4690410,5228346
84,1506,1110912,正道,電機機械,91940,90144
85,1512,1110912,瑞利,汽車工業,44832,54530
86,1513,1110912,中興電,電機機械,1486349,1498362
87,1514,1110912,亞力,電機機械,581803,497977
88,1515,1110912,力山,電機機械,419646,342805
89,1516,1110912,川飛,其他,198568,217961
90,1521,1110912,大億,汽車工業,371194,398886
91,1522,1110912,堤維西,汽車工業,1526510,1508869
92,1524,1110912,耿鼎,汽車工業,180053,192039
93,1525,1110912,江申,汽車工業,120687,152879
94,1526,1110912,日馳,電機機械,198988,188609
95,1527,1110912,鑽全,電機機械,318364,304470
96,1528,1110912,恩德,電機機械,286967,287238
97,1529,1110912,樂士,電機機械,22909,25085
98,1530,1110912,亞崴,電機機械,299268,327831
99,1531,1110912,高林股,電機機械,193348,212566
100,1532,1110912,勤美,電機機械,1202021,1127279
101,1533,1110912,車王電,汽車工業,245523,370906
102,1535,1110912,中宇,電機機械,685491,720211
103,1536,1110912,和大,汽車工業,701619,669456
104,1537,1110912,廣隆,電機機械,707839,702257
105,1538,1110912,正峰,電機機械,32519,28086
106,1539,1110912,巨庭,電機機械,214396,232621
107,1540,1110912,喬福,電機機械,52791,48710
108,1558,1110912,伸興,電機機械,406755,431679
109,1560,1110912,中砂,電機機械,617552,618058
110,1568,1110912,倉佑,汽車工業,133799,153467
111,1582,1110912,信錦,電子零組件業,753559,962758
112,1583,1110912,程泰,電機機械,615406,596528
113,1587,1110912,吉茂,汽車工業,230637,245881
114,1589,1110912,永冠-KY,電機機械,849214,786319
115,1590,1110912,亞德客-KY,電機機械,1976218,1978552
116,1597,1110912,直得,電機機械,138345,147964
117,1598,1110912,岱宇,生技醫療業,449422,448166
118,1603,1110912,華電,電器電纜,491483,214634
119,1604,1110912,聲寶,電器電纜,714628,845180
120,1605,1110912,華新,電器電纜,14315935,15121399
121,1608,1110912,華榮,電器電纜,857290,976010
122,1611,1110912,中電,電器電纜,140844,126845
123,1612,1110912,宏泰,電器電纜,470080,503497
124,1614,1110912,三洋電,電器電纜,570465,692704
125,1615,1110912,大山,電器電纜,415238,263424
126,1616,1110912,億泰,電器電纜,366545,308203
127,1618,1110912,合機,電器電纜,405947,103947
128,1626,1110912,艾美特-KY,電器電纜,500166,712747
129,1701,1110912,中化,生技醫療業,678623,659390
130,1708,1110912,東鹼,化學工業,882160,681342
131,1709,1110912,和益,化學工業,874460,868527
132,1710,1110912,東聯,化學工業,1852131,1121107
133,1711,1110912,永光,化學工業,772829,735513
134,1712,1110912,興農,化學工業,1910508,2021193
135,1713,1110912,國化,化學工業,58815,44478
136,1714,1110912,和桐,化學工業,2042992,2338832
137,1717,1110912,長興,化學工業,3878708,4010038
138,1718,1110912,中纖,化學工業,2973454,2952896
139,1720,1110912,生達,生技醫療業,509036,462839
140,1721,1110912,三晃,化學工業,225643,230167
141,1722,1110912,台肥,化學工業,1318608,1191512
142,1723,1110912,中碳,化學工業,865016,964882
143,1725,1110912,元禎,化學工業,646962,632445
144,1727,1110912,中華化,化學工業,192152,192762
145,1730,1110912,花仙子,化學工業,266545,204056
146,1731,1110912,美吾華,生技醫療業,103953,105362
147,1733,1110912,五鼎,生技醫療業,198847,203389
148,1734,1110912,杏輝,生技醫療業,240083,193219
149,1735,1110912,日勝化,化學工業,242407,229032
150,1736,1110912,喬山,生技醫療業,2745173,1996618
151,1737,1110912,臺鹽,食品工業,334505,305192
152,1752,1110912,南光,生技醫療業,151201,180890
153,1760,1110912,寶齡富錦,生技醫療業,345476,159290
154,1762,1110912,中化生,生技醫療業,156945,130715
155,1773,1110912,勝一,化學工業,973028,900338
156,1776,1110912,展宇,化學工業,126953,101105
157,1783,1110912,和康生,生技醫療業,56342,46993
158,1786,1110912,科妍,生技醫療業,38740,58552
159,1789,1110912,神隆,生技醫療業,189826,290904
160,1795,1110912,美時,生技醫療業,996806,1043645
161,1802,1110912,台玻,玻璃陶瓷,3734242,3741733
162,1805,1110912,寶徠,建材營造,747,39558
163,1806,1110912,冠軍,玻璃陶瓷,244575,235289
164,1808,1110912,潤隆,建材營造,14021,19960
165,1809,1110912,中釉,玻璃陶瓷,236585,224533
166,1817,1110912,凱撒衛,玻璃陶瓷,235523,220316
167,1903,1110912,士紙,造紙工業,14708,12111
168,1904,1110912,正隆,造紙工業,3510002,3659438
169,1905,1110912,華紙,造紙工業,2046809,2079953
170,1906,1110912,寶隆,造紙工業,345171,401520
171,1907,1110912,永豐餘,造紙工業,6863866,6719538
172,1909,1110912,榮成,造紙工業,4420610,3733965
173,2006,1110912,東和鋼鐵,鋼鐵工業,5029584,4827238
174,2007,1110912,燁興,鋼鐵工業,447886,481612
175,2008,1110912,高興昌,鋼鐵工業,223797,227765
176,2009,1110912,第一銅,鋼鐵工業,262992,270550
177,2013,1110912,中鋼構,鋼鐵工業,1685690,1759432
178,2014,1110912,中鴻,鋼鐵工業,2303077,2890631
179,2015,1110912,豐興,鋼鐵工業,2855817,3274243
180,2017,1110912,官田鋼,鋼鐵工業,311272,341711
181,2020,1110912,美亞,鋼鐵工業,540292,476393
182,2022,1110912,聚亨,鋼鐵工業,833061,683525
183,2025,1110912,千興,鋼鐵工業,6212,51322
184,2027,1110912,大成鋼,鋼鐵工業,9582826,8854430
185,2028,1110912,威致,鋼鐵工業,847067,750409
186,2029,1110912,盛餘,鋼鐵工業,794833,1035691
187,2030,1110912,彰源,鋼鐵工業,1401283,1330411
188,2031,1110912,新光鋼,鋼鐵工業,1832460,1106608
189,2032,1110912,新鋼,鋼鐵工業,283295,225368
190,2033,1110912,佳大,鋼鐵工業,72271,51499
191,2034,1110912,允強,鋼鐵工業,1301373,1667173
192,2038,1110912,海光,鋼鐵工業,1110642,977276
193,2049,1110912,上銀,電機機械,2627868,2781486
194,2059,1110912,川湖,電子零組件業,723298,714280
195,2062,1110912,橋椿,其他,503368,660951
196,2069,1110912,運錩,鋼鐵工業,1099130,1229673
197,2101,1110912,南港,橡膠工業,552143,659958
198,2102,1110912,泰豐,橡膠工業,185894,184842
199,2103,1110912,台橡,橡膠工業,2785418,3085654
200,2105,1110912,正新,橡膠工業,9059420,8594207
201,2107,1110912,厚生,橡膠工業,162774,116397
202,2108,1110912,南帝,橡膠工業,832859,732110
203,2109,1110912,華豐,橡膠工業,476702,488521
204,2114,1110912,鑫永銓,橡膠工業,154244,161313
205,2115,1110912,六暉-KY,汽車工業,249194,276970
206,2201,1110912,裕隆,汽車工業,6247768,6950053
207,2204,1110912,中華,汽車工業,2204713,2664866
208,2206,1110912,三陽工業,汽車工業,4642552,4853029
209,2211,1110912,長榮鋼,鋼鐵工業,753827,982491
210,2227,1110912,裕日車,汽車工業,833180,2491666
211,2231,1110912,為升,汽車工業,309060,294771
212,2233,1110912,宇隆,汽車工業,298708,285558
213,2239,1110912,英利-KY,汽車工業,2368562,2170666
214,2241,1110912,艾姆勒,汽車工業,50098,50028
215,2243,1110912,宏旭-KY,汽車工業,87687,176610
216,2250,1110912,IKKA-KY,汽車工業,255471,243087
217,2301,1110912,光寶科,電腦及週邊設備業,15434850,14799908
218,2302,1110912,麗正,半導體業,81810,81749
219,2303,1110912,聯電,半導體業,25346076,24826685
220,2305,1110912,全友,電腦及週邊設備業,65241,60111
221,2312,1110912,金寶,其他電子業,16484774,15370766
222,2313,1110912,華通,電子零組件業,7188397,6888468
223,2314,1110912,台揚,通信網路業,431594,421381
224,2316,1110912,楠梓電,電子零組件業,484579,384907
225,2317,1110912,鴻海,其他電子業,448906316,475099076
226,2323,1110912,中環,光電業,703963,624190
227,2324,1110912,仁寶,電腦及週邊設備業,88842373,97630554
228,2327,1110912,國巨,電子零組件業,10175610,10410213
229,2328,1110912,廣宇,電子零組件業,2177265,1885425
230,2329,1110912,華泰,半導體業,1327389,1313341
231,2330,1110912,台積電,半導體業,218132391,186762689
232,2331,1110912,精英,電腦及週邊設備業,2617625,2740290
233,2332,1110912,友訊,通信網路業,1447895,1404034
234,2337,1110912,旺宏,半導體業,3727862,3604068
235,2338,1110912,光罩,半導體業,697223,670978
236,2340,1110912,台亞,半導體業,354487,363382
237,2342,1110912,茂矽,半導體業,190849,191600
238,2344,1110912,華邦電,半導體業,7402743,7390832
239,2345,1110912,智邦,通信網路業,6391814,6840989
240,2347,1110912,聯強,電子通路業,35920894,32768594
241,2348,1110912,海悅,其他,417930,341010
242,2349,1110912,錸德,光電業,686466,699359
243,2351,1110912,順德,半導體業,988150,985729
244,2352,1110912,佳世達,電腦及週邊設備業,19898793,20401065
245,2353,1110912,宏碁,電腦及週邊設備業,20241042,17458555
246,2354,1110912,鴻準,其他電子業,5553869,5448347
247,2355,1110912,敬鵬,電子零組件業,1474478,1355517
248,2356,1110912,英業達,電腦及週邊設備業,44375400,47109534
249,2357,1110912,華碩,電腦及週邊設備業,48226687,36753188
250,2358,1110912,廷鑫,其他,111234,115744
251,2359,1110912,所羅門,其他電子業,339190,311140
252,2360,1110912,致茂,其他電子業,2311564,2056033
253,2362,1110912,藍天,電腦及週邊設備業,1925210,1714848
254,2363,1110912,矽統,半導體業,11419,14579
255,2364,1110912,倫飛,電腦及週邊設備業,84145,77669
256,2365,1110912,昆盈,電腦及週邊設備業,108515,130910
257,2367,1110912,燿華,電子零組件業,1888943,1756020
258,2368,1110912,金像電,電子零組件業,2960443,2667513
259,2369,1110912,菱生,半導體業,453201,490820
260,2373,1110912,震旦行,其他電子業,1173846,1253904
261,2374,1110912,佳能,光電業,496358,461480
262,2375,1110912,凱美,電子零組件業,497713,528019
263,2376,1110912,技嘉,電腦及週邊設備業,7896900,7435303
264,2377,1110912,微星,電腦及週邊設備業,12564059,13011506
265,2379,1110912,瑞昱,半導體業,10398019,9790003
266,2380,1110912,虹光,電腦及週邊設備業,259548,210220
267,2382,1110912,廣達,電腦及週邊設備業,131869030,129459679
268,2383,1110912,台光電,電子零組件業,3233476,3295478
269,2385,1110912,群光,電子零組件業,10261684,10302508
270,2387,1110912,精元,電腦及週邊設備業,2558851,2552948
271,2388,1110912,威盛,半導體業,983557,585607
272,2390,1110912,云辰,其他電子業,44727,43708
273,2392,1110912,正崴,電子零組件業,8025226,7721549
274,2393,1110912,億光,光電業,1562931,1638776
275,2395,1110912,研華,電腦及週邊設備業,6236122,5968194
276,2397,1110912,友通,電腦及週邊設備業,1294073,1454871
277,2402,1110912,毅嘉,電子零組件業,701975,600851
278,2405,1110912,輔信,電腦及週邊設備業,118183,145978
279,2408,1110912,南亞科,半導體業,3419118,4396393
280,2409,1110912,友達,光電業,16021445,17431035
281,2413,1110912,環科,電子零組件業,442168,411995
282,2414,1110912,精技,電子通路業,2361914,2375085
283,2415,1110912,錩新,電子零組件業,170344,179800
284,2417,1110912,圓剛,電腦及週邊設備業,284791,374541
285,2419,1110912,仲琦,通信網路業,1018128,937781
286,2421,1110912,建準,電子零組件業,1098401,1209716
287,2423,1110912,固緯,其他電子業,237725,225319
288,2424,1110912,隴華,電腦及週邊設備業,2429,7629
289,2425,1110912,承啟,電腦及週邊設備業,537114,478478
290,2427,1110912,三商電,資訊服務業,256713,254536
291,2428,1110912,興勤,電子零組件業,645334,598600
292,2429,1110912,銘旺科,光電業,39483,40687
293,2430,1110912,燦坤,電子通路業,1758229,1991245
294,2431,1110912,聯昌,電子零組件業,91302,120867
295,2433,1110912,互盛電,其他電子業,258754,271760
296,2434,1110912,統懋,半導體業,7716,7060
297,2436,1110912,偉詮電,半導體業,194038,192134
298,2438,1110912,翔耀,光電業,11792,16004
299,2439,1110912,美律,通信網路業,3716353,3290225
300,2440,1110912,太空梭,電子零組件業,228254,207441
301,2441,1110912,超豐,半導體業,1237752,1262225
302,2442,1110912,新美齊,電腦及週邊設備業,9811,9867
303,2444,1110912,兆勁,通信網路業,150337,113399
304,2449,1110912,京元電子,半導體業,2891833,3196133
305,2450,1110912,神腦,通信網路業,2512334,2393763
306,2451,1110912,創見,半導體業,1003703,1024394
307,2453,1110912,凌群,資訊服務業,446950,421165
308,2454,1110912,聯發科,半導體業,44699654,40890418
309,2455,1110912,全新,通信網路業,173020,190831
310,2457,1110912,飛宏,電子零組件業,1346161,1180373
311,2458,1110912,義隆,半導體業,843824,1076225
312,2459,1110912,敦吉,其他電子業,814858,766310
313,2460,1110912,建通,電子零組件業,184507,203088
314,2461,1110912,光群雷,其他電子業,518532,511005
315,2464,1110912,盟立,其他電子業,951871,951112
316,2465,1110912,麗臺,電腦及週邊設備業,291995,344049
317,2467,1110912,志聖,電子零組件業,497632,447143
318,2471,1110912,資通,資訊服務業,68149,74254
319,2472,1110912,立隆電,電子零組件業,798569,880929
320,2474,1110912,可成,其他電子業,2870083,2821398
321,2476,1110912,鉅祥,電子零組件業,632854,649311
322,2477,1110912,美隆電,其他電子業,201654,318855
323,2478,1110912,大毅,電子零組件業,369938,348427
324,2480,1110912,敦陽科,資訊服務業,576222,512430
325,2481,1110912,強茂,半導體業,1004167,1113783
326,2482,1110912,連宇,其他電子業,114766,85375
327,2483,1110912,百容,電子零組件業,184960,190205
328,2484,1110912,希華,電子零組件業,266354,312326
329,2485,1110912,兆赫,通信網路業,655975,589100
330,2486,1110912,一詮,光電業,413832,443616
331,2488,1110912,漢平,其他電子業,338510,339607
332,2489,1110912,瑞軒,光電業,1318705,1025750
333,2492,1110912,華新科,電子零組件業,2639851,2840653
334,2493,1110912,揚博,電子零組件業,266951,264948
335,2495,1110912,普安,電腦及週邊設備業,134145,129078
336,2497,1110912,怡利電,汽車工業,350939,238981
337,2498,1110912,宏達電,通信網路業,312762,304518
338,2501,1110912,國建,建材營造,995485,2016943
339,2504,1110912,國產,建材營造,1819642,1832273
340,2505,1110912,國揚,建材營造,75144,270910
341,2509,1110912,全坤建,建材營造,18293,15901
342,2511,1110912,太子,建材營造,507511,1006171
343,2514,1110912,龍邦,其他,1072268,678320
344,2515,1110912,中工,建材營造,1397356,1219088
345,2516,1110912,新建,建材營造,565296,465864
346,2520,1110912,冠德,建材營造,1546557,1525880
347,2524,1110912,京城,建材營造,223376,135598
348,2527,1110912,宏璟,建材營造,108525,42295
349,2528,1110912,皇普,建材營造,44,10
350,2530,1110912,華建,建材營造,1017,1011
351,2534,1110912,宏盛,建材營造,290440,465493
352,2535,1110912,達欣工,建材營造,1529560,1324551
353,2536,1110912,宏普,建材營造,72044,13657
354,2537,1110912,聯上發,建材營造,145148,49400
355,2538,1110912,基泰,建材營造,23611,26987
356,2539,1110912,櫻花建,建材營造,2364287,732130
357,2540,1110912,愛山林,建材營造,461649,388128
358,2542,1110912,興富發,建材營造,343473,181592
359,2543,1110912,皇昌,建材營造,717050,633839
360,2545,1110912,皇翔,建材營造,361731,904436
361,2546,1110912,根基,建材營造,1339321,1261109
362,2547,1110912,日勝生,建材營造,612376,429425
363,2548,1110912,華固,建材營造,238563,1229035
364,2601,1110912,益航,貿易百貨,529814,465054
365,2603,1110912,長榮,航運業,57442123,62799441
366,2605,1110912,新興,航運業,313492,283538
367,2606,1110912,裕民,航運業,1472657,1651326
368,2607,1110912,榮運,航運業,2055556,1686328
369,2609,1110912,陽明,航運業,35089619,36749405
370,2611,1110912,志信,航運業,65992,66758
371,2612,1110912,中航,航運業,390907,399538
372,2613,1110912,中櫃,航運業,269207,273017
373,2615,1110912,萬海,航運業,21314901,23902539
374,2616,1110912,山隆,油電燃氣業,1519762,1576509
375,2617,1110912,台航,航運業,329693,334578
376,2618,1110912,長榮航,航運業,12014621,11866739
377,2630,1110912,亞航,航運業,382673,384986
378,2633,1110912,台灣高鐵,航運業,3366023,2991101
379,2634,1110912,漢翔,航運業,2555919,2740052
380,2636,1110912,台驊投控,航運業,1996021,2237452
381,2637,1110912,慧洋-KY,航運業,2073045,2342621
382,2642,1110912,宅配通,航運業,401898,379005
383,2701,1110912,萬企,觀光事業,19414,20132
384,2702,1110912,華園,觀光事業,132331,150799
385,2704,1110912,國賓,觀光事業,112335,101444
386,2706,1110912,第一店,觀光事業,23681,24195
387,2707,1110912,晶華,觀光事業,525276,468972
388,2712,1110912,遠雄來,觀光事業,90289,68203
389,2722,1110912,夏都,觀光事業,114328,118711
390,2723,1110912,美食-KY,觀光事業,1733154,1636887
391,2731,1110912,雄獅,觀光事業,256632,197588
392,2748,1110912,雲品,觀光事業,167123,166842
393,2801,1110912,彰銀,金融保險業,3265931,3549913
394,2809,1110912,京城銀,金融保險業,905008,1136280
395,2812,1110912,台中銀,金融保險業,1440249,1436922
396,2816,1110912,旺旺保,金融保險業,758209,813502
397,2820,1110912,華票,金融保險業,249065,73896
398,2832,1110912,台產,金融保險業,521635,563873
399,2834,1110912,臺企銀,金融保險業,2563993,2906096
400,2836,1110912,高雄銀,金融保險業,303639,309915
401,2845,1110912,遠東銀,金融保險業,1128926,1028245
402,2849,1110912,安泰銀,金融保險業,517200,460264
403,2851,1110912,中再保,金融保險業,1791841,1417889
404,2852,1110912,第一保,金融保險業,631312,640231
405,2855,1110912,統一證,金融保險業,485770,597285
406,2880,1110912,華南金,金融保險業,5166107,6118042
407,2884,1110912,玉山金,金融保險業,4793454,6085993
408,2886,1110912,兆豐金,金融保險業,4861655,7120270
409,2887,1110912,台新金,金融保險業,6276645,4579492
410,2888,1110912,新光金,金融保險業,10398122,8992940
411,2889,1110912,國票金,金融保險業,579802,676630
412,2890,1110912,永豐金,金融保險業,4313423,4728509
413,2891,1110912,中信金,金融保險業,11158103,15576298
414,2892,1110912,第一金,金融保險業,7045774,7321542
415,2897,1110912,王道銀行,金融保險業,1005423,893584
416,2901,1110912,欣欣,貿易百貨,8393,10378
417,2904,1110912,匯僑,其他,43916,41951
418,2908,1110912,特力,貿易百貨,2977229,2946815
419,2910,1110912,統領,貿易百貨,118810,38141
